feature,impurity_importance,impurity_rank
feature_59,0.018814414586384012,1
feature_103,0.016160310374321724,2
feature_33,0.012556343577552058,3
feature_519,0.009435907460448974,4
feature_64,0.008592711878157142,5
feature_205,0.008512013828323955,6
feature_477,0.008292947261553538,7
feature_129,0.00751789571089692,8
feature_31,0.007298318180919101,9
feature_213,0.007210080785498987,10
feature_130,0.006626997151282929,11
feature_65,0.006561328062056255,12
feature_351,0.006545165053397984,13
feature_21,0.006460331237811215,14
feature_510,0.006326919466955711,15
feature_247,0.006218476488128913,16
feature_281,0.00605175960005832,17
feature_452,0.005306853570737956,18
feature_577,0.005126291019353008,19
feature_125,0.0050326474168366645,20
feature_81,0.005027225075004032,21
feature_336,0.004960458691640829,22
feature_341,0.004815255261463827,23
feature_102,0.004725775609671668,24
feature_316,0.004685574976592846,25
feature_200,0.0045927997625737045,26
feature_423,0.004568233251197715,27
feature_287,0.004472279996542555,28
feature_14,0.00445582975149474,29
feature_0,0.004424730733869659,30
feature_180,0.0043754297586742425,31
feature_270,0.004367021293578731,32
feature_127,0.004243757534248957,33
feature_469,0.003981918411277478,34
feature_455,0.003962225431110591,35
feature_90,0.0039368369512468365,36
feature_319,0.00392487380987994,37
feature_122,0.003914081945359126,38
feature_91,0.003913548546867392,39
feature_124,0.0038622635022274193,40
feature_8,0.0038292339399484667,41
feature_121,0.0038169711142232486,42
feature_75,0.003747228093470433,43
feature_160,0.00366918900465842,44
feature_146,0.0036401474933801226,45
feature_587,0.00361369921441163,46
feature_152,0.003580819068669535,47
feature_126,0.0035032709837274877,48
feature_182,0.003446789251548878,49
feature_280,0.0034154850658435626,50
feature_385,0.003368650745792356,51
feature_70,0.0033230698608169773,52
feature_390,0.0033219661217075537,53
feature_227,0.0032647598567095973,54
feature_310,0.003263530889980398,55
feature_197,0.0032588738350759166,56
feature_37,0.003221245584291877,57
feature_429,0.003208088950968724,58
feature_489,0.0031998319547493653,59
feature_377,0.003186185525448924,60
feature_488,0.0031840168901386616,61
feature_571,0.0031826598863871902,62
feature_10,0.003179715335373064,63
feature_183,0.003154777586196313,64
feature_137,0.0031111222143194004,65
feature_323,0.0030993243931383765,66
feature_298,0.0030736431479866386,67
feature_573,0.0030564362517361754,68
feature_460,0.0030400918683323613,69
feature_16,0.0030096172073052416,70
feature_35,0.0030051134618324835,71
feature_431,0.002995689256298634,72
feature_195,0.0029871963378491385,73
feature_408,0.0029773564076057404,74
feature_168,0.0029266874519808827,75
feature_574,0.0029045967960722656,76
feature_174,0.002902883164208319,77
feature_348,0.0028999908957235998,78
feature_63,0.0028796164536053206,79
feature_217,0.002868046102751027,80
feature_252,0.0028505906821597437,81
feature_28,0.002849873011989093,82
feature_202,0.0028040503506283794,83
feature_420,0.0027953177277932383,84
feature_582,0.002784294106762732,85
feature_78,0.0027750752713694153,86
feature_39,0.002743998711939567,87
feature_459,0.0027417636208501204,88
feature_288,0.00273663677573728,89
feature_417,0.0027261998071227995,90
feature_175,0.0027168248090705424,91
feature_309,0.0027115035957983795,92
feature_410,0.0027068822808628047,93
feature_92,0.0026970177584030304,94
feature_147,0.0026865165574539054,95
feature_433,0.0026855001279060655,96
feature_67,0.0026798662202591975,97
feature_424,0.0026603863433113536,98
feature_426,0.002660349790148931,99
feature_299,0.0026565628633440476,100
feature_318,0.0026451567673251644,101
feature_68,0.002638624467999558,102
feature_203,0.0026218650783127895,103
feature_443,0.0026197338366573003,104
feature_411,0.0026066562770088713,105
feature_19,0.0026034716095408084,106
feature_428,0.002600927554520185,107
feature_83,0.0025987678581631418,108
feature_588,0.0025879151330196054,109
feature_480,0.0025720120180743574,110
feature_333,0.0025682487997767513,111
feature_273,0.002560680702259716,112
feature_150,0.002553236306854672,113
feature_135,0.0025225332724220753,114
feature_26,0.002502982758930359,115
feature_131,0.002492189611123619,116
feature_153,0.002483728855125935,117
feature_40,0.002472426197481956,118
feature_17,0.002469397034425874,119
feature_307,0.002445878710895057,120
feature_71,0.002427075735686421,121
feature_335,0.0024262662722187565,122
feature_250,0.002425731599851613,123
feature_274,0.002423472546462842,124
feature_156,0.002410372960774783,125
feature_123,0.0023996964197995738,126
feature_196,0.0023985259120873174,127
feature_296,0.0023870831589902337,128
feature_352,0.0023865664679728455,129
feature_541,0.0023760434641818293,130
feature_76,0.002357661936034085,131
feature_61,0.0023517833097887473,132
feature_25,0.002345433648634956,133
feature_272,0.002338564691674831,134
feature_291,0.0023349554844054325,135
feature_438,0.002319222826754958,136
feature_117,0.002307570505238731,137
feature_43,0.002303026989084318,138
feature_128,0.0022864908844463182,139
feature_144,0.002285703518330634,140
feature_356,0.0022851245602231065,141
feature_331,0.0022796866631065293,142
feature_484,0.002275413225446925,143
feature_22,0.0022618209153124724,144
feature_539,0.0022537220892633486,145
feature_48,0.0022459273042581803,146
feature_560,0.0022447064834981772,147
feature_1,0.002241112582796985,148
feature_87,0.002239932695633225,149
feature_47,0.002237485722886223,150
feature_58,0.0022333856968179914,151
feature_215,0.0022117452069280426,152
feature_547,0.0022084035964072195,153
feature_563,0.002207872761876094,154
feature_285,0.002202339044738633,155
feature_115,0.002200004282220361,156
feature_113,0.0021961533404254614,157
feature_187,0.002189434616968502,158
feature_344,0.002187174188991768,159
feature_46,0.002186236945370383,160
feature_304,0.0021803107309628107,161
feature_286,0.0021785243890602387,162
feature_435,0.002171479112363936,163
feature_219,0.0021693737309392246,164
feature_79,0.002168528679738454,165
feature_365,0.0021574141339347225,166
feature_62,0.002138575284870897,167
feature_440,0.002136599709159568,168
feature_447,0.0021364103249380917,169
