metric,slope_per_added_feature,intercept,linear_r_squared,approximately_linear_r2_ge_0_90
cv_pr_auc_mean,0.014614534071977374,0.10817220322838006,0.9173704255196982,True
temporal_test_pr_auc,0.012230976305690542,0.02834026583481899,0.8866608788195491,False
fit_time_mean_seconds,-0.032143622408009415,2.082244290245903,0.14456501244431164,False
inference_time_ms_per_sample,-0.00044309129517520053,0.2347423375798148,0.0007748699754624999,False
tokens_mean_per_sample,8.31544545647928,1.4579025739204248,0.9995711950876327,True
